Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/backbone/input_stem/op_list.0/conv/Conv,Conv,18579456,0.28%,5312000,0.51%,896,0.00%,1x3x288x288,1x32x144x144
/backbone/input_stem/op_list.0/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x32x144x144,1x32x144x144
/backbone/input_stem/op_list.1/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5309696,0.51%,320,0.00%,1x32x144x144,1x32x144x144
/backbone/input_stem/op_list.1/main/depth_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x32x144x144,1x32x144x144
/backbone/input_stem/op_list.1/main/point_conv/conv/Conv,Conv,21897216,0.33%,5312640,0.51%,1056,0.00%,1x32x144x144,1x32x144x144
/backbone/input_stem/op_list.1/Add,Add,663552,0.01%,5308416,0.51%,0,0.00%,1x32x144x144,1x32x144x144
/backbone/stages.0/op_list.0/main/inverted_conv/conv/Conv,Conv,87588864,1.33%,21250560,2.04%,4224,0.01%,1x32x144x144,1x128x144x144
/backbone/stages.0/op_list.0/main/inverted_conv/act/Relu,Relu,2654208,0.04%,21233664,2.04%,0,0.00%,1x128x144x144,1x128x144x144
/backbone/stages.0/op_list.0/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5313536,0.51%,1280,0.00%,1x128x144x144,1x128x72x72
/backbone/stages.0/op_list.0/main/depth_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x128x72x72,1x128x72x72
/backbone/stages.0/op_list.0/main/point_conv/conv/Conv,Conv,42799104,0.65%,2687232,0.26%,8256,0.02%,1x128x72x72,1x64x72x72
/backbone/stages.0/op_list.1/main/inverted_conv/conv/Conv,Conv,86261760,1.31%,10683392,1.03%,16640,0.03%,1x64x72x72,1x256x72x72
/backbone/stages.0/op_list.1/main/inverted_conv/act/Relu,Relu,1327104,0.02%,10616832,1.02%,0,0.00%,1x256x72x72,1x256x72x72
/backbone/stages.0/op_list.1/main/depth_conv/conv/Conv,Conv,13271040,0.20%,10627072,1.02%,2560,0.01%,1x256x72x72,1x256x72x72
/backbone/stages.0/op_list.1/main/depth_conv/act/Relu,Relu,1327104,0.02%,10616832,1.02%,0,0.00%,1x256x72x72,1x256x72x72
/backbone/stages.0/op_list.1/main/point_conv/conv/Conv,Conv,85266432,1.29%,2720000,0.26%,16448,0.03%,1x256x72x72,1x64x72x72
/backbone/stages.0/op_list.1/Add,Add,331776,0.01%,2654208,0.26%,0,0.00%,1x64x72x72,1x64x72x72
/backbone/stages.0/op_list.2/main/inverted_conv/conv/Conv,Conv,86261760,1.31%,10683392,1.03%,16640,0.03%,1x64x72x72,1x256x72x72
/backbone/stages.0/op_list.2/main/inverted_conv/act/Relu,Relu,1327104,0.02%,10616832,1.02%,0,0.00%,1x256x72x72,1x256x72x72
/backbone/stages.0/op_list.2/main/depth_conv/conv/Conv,Conv,13271040,0.20%,10627072,1.02%,2560,0.01%,1x256x72x72,1x256x72x72
/backbone/stages.0/op_list.2/main/depth_conv/act/Relu,Relu,1327104,0.02%,10616832,1.02%,0,0.00%,1x256x72x72,1x256x72x72
/backbone/stages.0/op_list.2/main/point_conv/conv/Conv,Conv,85266432,1.29%,2720000,0.26%,16448,0.03%,1x256x72x72,1x64x72x72
/backbone/stages.0/op_list.2/Add,Add,331776,0.01%,2654208,0.26%,0,0.00%,1x64x72x72,1x64x72x72
/backbone/stages.0/op_list.3/main/inverted_conv/conv/Conv,Conv,86261760,1.31%,10683392,1.03%,16640,0.03%,1x64x72x72,1x256x72x72
/backbone/stages.0/op_list.3/main/inverted_conv/act/Relu,Relu,1327104,0.02%,10616832,1.02%,0,0.00%,1x256x72x72,1x256x72x72
/backbone/stages.0/op_list.3/main/depth_conv/conv/Conv,Conv,13271040,0.20%,10627072,1.02%,2560,0.01%,1x256x72x72,1x256x72x72
/backbone/stages.0/op_list.3/main/depth_conv/act/Relu,Relu,1327104,0.02%,10616832,1.02%,0,0.00%,1x256x72x72,1x256x72x72
/backbone/stages.0/op_list.3/main/point_conv/conv/Conv,Conv,85266432,1.29%,2720000,0.26%,16448,0.03%,1x256x72x72,1x64x72x72
/backbone/stages.0/op_list.3/Add,Add,331776,0.01%,2654208,0.26%,0,0.00%,1x64x72x72,1x64x72x72
/backbone/stages.1/op_list.0/main/inverted_conv/conv/Conv,Conv,86261760,1.31%,10683392,1.03%,16640,0.03%,1x64x72x72,1x256x72x72
/backbone/stages.1/op_list.0/main/inverted_conv/act/Relu,Relu,1327104,0.02%,10616832,1.02%,0,0.00%,1x256x72x72,1x256x72x72
/backbone/stages.1/op_list.0/main/depth_conv/conv/Conv,Conv,3317760,0.05%,2664448,0.26%,2560,0.01%,1x256x72x72,1x256x36x36
/backbone/stages.1/op_list.0/main/depth_conv/act/Relu,Relu,331776,0.01%,2654208,0.26%,0,0.00%,1x256x36x36,1x256x36x36
/backbone/stages.1/op_list.0/main/point_conv/conv/Conv,Conv,42633216,0.65%,1458688,0.14%,32896,0.07%,1x256x36x36,1x128x36x36
/backbone/stages.1/op_list.1/main/inverted_conv/conv/Conv,Conv,85598208,1.30%,5572608,0.54%,66048,0.14%,1x128x36x36,1x512x36x36
/backbone/stages.1/op_list.1/main/inverted_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.1/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5328896,0.51%,5120,0.01%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.1/main/depth_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.1/main/point_conv/conv/Conv,Conv,85100544,1.29%,1589760,0.15%,65664,0.14%,1x512x36x36,1x128x36x36
/backbone/stages.1/op_list.1/Add,Add,165888,0.00%,1327104,0.13%,0,0.00%,1x128x36x36,1x128x36x36
/backbone/stages.1/op_list.2/main/inverted_conv/conv/Conv,Conv,85598208,1.30%,5572608,0.54%,66048,0.14%,1x128x36x36,1x512x36x36
/backbone/stages.1/op_list.2/main/inverted_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.2/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5328896,0.51%,5120,0.01%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.2/main/depth_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.2/main/point_conv/conv/Conv,Conv,85100544,1.29%,1589760,0.15%,65664,0.14%,1x512x36x36,1x128x36x36
/backbone/stages.1/op_list.2/Add,Add,165888,0.00%,1327104,0.13%,0,0.00%,1x128x36x36,1x128x36x36
/backbone/stages.1/op_list.3/main/inverted_conv/conv/Conv,Conv,85598208,1.30%,5572608,0.54%,66048,0.14%,1x128x36x36,1x512x36x36
/backbone/stages.1/op_list.3/main/inverted_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.3/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5328896,0.51%,5120,0.01%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.3/main/depth_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.3/main/point_conv/conv/Conv,Conv,85100544,1.29%,1589760,0.15%,65664,0.14%,1x512x36x36,1x128x36x36
/backbone/stages.1/op_list.3/Add,Add,165888,0.00%,1327104,0.13%,0,0.00%,1x128x36x36,1x128x36x36
/backbone/stages.1/op_list.4/main/inverted_conv/conv/Conv,Conv,85598208,1.30%,5572608,0.54%,66048,0.14%,1x128x36x36,1x512x36x36
/backbone/stages.1/op_list.4/main/inverted_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.4/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5328896,0.51%,5120,0.01%,1x512x36x36,1x512x36x36
/backbone/stages.1/op_list.4/main/depth_conv/act/Relu,Relu,663552,0.01%,5308416,0.51%,0,0.00%,1x512x36x36,1x512x36x36
