Name                                                                       Type                Forward_MACs    FPercent    Memory         MPercent    Params      PPercent    InShape        OutShape
-------------------------------------------------------------------------  ------------------  --------------  ----------  -------------  ----------  ----------  ----------  -------------  -------------
/backbone/input_stem/op_list.0/conv/Conv                                   Conv                18,579,456      0.28%       5,312,000      0.51%       896         0.00%       1x3x288x288    1x32x144x144
/backbone/input_stem/op_list.0/act/Relu                                    Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x32x144x144   1x32x144x144
/backbone/input_stem/op_list.1/main/depth_conv/conv/Conv                   Conv                6,635,520       0.10%       5,309,696      0.51%       320         0.00%       1x32x144x144   1x32x144x144
/backbone/input_stem/op_list.1/main/depth_conv/act/Relu                    Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x32x144x144   1x32x144x144
/backbone/input_stem/op_list.1/main/point_conv/conv/Conv                   Conv                21,897,216      0.33%       5,312,640      0.51%       1,056       0.00%       1x32x144x144   1x32x144x144
/backbone/input_stem/op_list.1/Add                                         Add                 663,552         0.01%       5,308,416      0.51%       0           0.00%       1x32x144x144   1x32x144x144
/backbone/stages.0/op_list.0/main/inverted_conv/conv/Conv                  Conv                87,588,864      1.33%       21,250,560     2.04%       4,224       0.01%       1x32x144x144   1x128x144x144
/backbone/stages.0/op_list.0/main/inverted_conv/act/Relu                   Relu                2,654,208       0.04%       21,233,664     2.04%       0           0.00%       1x128x144x144  1x128x144x144
/backbone/stages.0/op_list.0/main/depth_conv/conv/Conv                     Conv                6,635,520       0.10%       5,313,536      0.51%       1,280       0.00%       1x128x144x144  1x128x72x72
/backbone/stages.0/op_list.0/main/depth_conv/act/Relu                      Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x128x72x72    1x128x72x72
/backbone/stages.0/op_list.0/main/point_conv/conv/Conv                     Conv                42,799,104      0.65%       2,687,232      0.26%       8,256       0.02%       1x128x72x72    1x64x72x72
/backbone/stages.0/op_list.1/main/inverted_conv/conv/Conv                  Conv                86,261,760      1.31%       10,683,392     1.03%       16,640      0.03%       1x64x72x72     1x256x72x72
/backbone/stages.0/op_list.1/main/inverted_conv/act/Relu                   Relu                1,327,104       0.02%       10,616,832     1.02%       0           0.00%       1x256x72x72    1x256x72x72
/backbone/stages.0/op_list.1/main/depth_conv/conv/Conv                     Conv                13,271,040      0.20%       10,627,072     1.02%       2,560       0.01%       1x256x72x72    1x256x72x72
/backbone/stages.0/op_list.1/main/depth_conv/act/Relu                      Relu                1,327,104       0.02%       10,616,832     1.02%       0           0.00%       1x256x72x72    1x256x72x72
/backbone/stages.0/op_list.1/main/point_conv/conv/Conv                     Conv                85,266,432      1.29%       2,720,000      0.26%       16,448      0.03%       1x256x72x72    1x64x72x72
/backbone/stages.0/op_list.1/Add                                           Add                 331,776         0.01%       2,654,208      0.26%       0           0.00%       1x64x72x72     1x64x72x72
/backbone/stages.0/op_list.2/main/inverted_conv/conv/Conv                  Conv                86,261,760      1.31%       10,683,392     1.03%       16,640      0.03%       1x64x72x72     1x256x72x72
/backbone/stages.0/op_list.2/main/inverted_conv/act/Relu                   Relu                1,327,104       0.02%       10,616,832     1.02%       0           0.00%       1x256x72x72    1x256x72x72
/backbone/stages.0/op_list.2/main/depth_conv/conv/Conv                     Conv                13,271,040      0.20%       10,627,072     1.02%       2,560       0.01%       1x256x72x72    1x256x72x72
/backbone/stages.0/op_list.2/main/depth_conv/act/Relu                      Relu                1,327,104       0.02%       10,616,832     1.02%       0           0.00%       1x256x72x72    1x256x72x72
/backbone/stages.0/op_list.2/main/point_conv/conv/Conv                     Conv                85,266,432      1.29%       2,720,000      0.26%       16,448      0.03%       1x256x72x72    1x64x72x72
/backbone/stages.0/op_list.2/Add                                           Add                 331,776         0.01%       2,654,208      0.26%       0           0.00%       1x64x72x72     1x64x72x72
/backbone/stages.0/op_list.3/main/inverted_conv/conv/Conv                  Conv                86,261,760      1.31%       10,683,392     1.03%       16,640      0.03%       1x64x72x72     1x256x72x72
/backbone/stages.0/op_list.3/main/inverted_conv/act/Relu                   Relu                1,327,104       0.02%       10,616,832     1.02%       0           0.00%       1x256x72x72    1x256x72x72
/backbone/stages.0/op_list.3/main/depth_conv/conv/Conv                     Conv                13,271,040      0.20%       10,627,072     1.02%       2,560       0.01%       1x256x72x72    1x256x72x72
/backbone/stages.0/op_list.3/main/depth_conv/act/Relu                      Relu                1,327,104       0.02%       10,616,832     1.02%       0           0.00%       1x256x72x72    1x256x72x72
/backbone/stages.0/op_list.3/main/point_conv/conv/Conv                     Conv                85,266,432      1.29%       2,720,000      0.26%       16,448      0.03%       1x256x72x72    1x64x72x72
/backbone/stages.0/op_list.3/Add                                           Add                 331,776         0.01%       2,654,208      0.26%       0           0.00%       1x64x72x72     1x64x72x72
/backbone/stages.1/op_list.0/main/inverted_conv/conv/Conv                  Conv                86,261,760      1.31%       10,683,392     1.03%       16,640      0.03%       1x64x72x72     1x256x72x72
/backbone/stages.1/op_list.0/main/inverted_conv/act/Relu                   Relu                1,327,104       0.02%       10,616,832     1.02%       0           0.00%       1x256x72x72    1x256x72x72
/backbone/stages.1/op_list.0/main/depth_conv/conv/Conv                     Conv                3,317,760       0.05%       2,664,448      0.26%       2,560       0.01%       1x256x72x72    1x256x36x36
/backbone/stages.1/op_list.0/main/depth_conv/act/Relu                      Relu                331,776         0.01%       2,654,208      0.26%       0           0.00%       1x256x36x36    1x256x36x36
/backbone/stages.1/op_list.0/main/point_conv/conv/Conv                     Conv                42,633,216      0.65%       1,458,688      0.14%       32,896      0.07%       1x256x36x36    1x128x36x36
/backbone/stages.1/op_list.1/main/inverted_conv/conv/Conv                  Conv                85,598,208      1.30%       5,572,608      0.54%       66,048      0.14%       1x128x36x36    1x512x36x36
/backbone/stages.1/op_list.1/main/inverted_conv/act/Relu                   Relu                663,552         0.01%       5,308,416      0.51%       0           0.00%       1x512x36x36    1x512x36x36
/backbone/stages.1/op_list.1/main/depth_conv/conv/Conv                     Conv                6,635,520       0.10%       5,328,896      0.51%       5,120       0.01%       1x512x36x36    1x512x36x36
