Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/stem/in_conv/conv/Conv,Conv,18579456,0.28%,5312000,0.48%,896,0.00%,1x3x288x288,1x32x144x144
/stem/in_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x32x144x144,1x32x144x144
/stem/res0/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5309696,0.48%,320,0.00%,1x32x144x144,1x32x144x144
/stem/res0/main/depth_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x32x144x144,1x32x144x144
/stem/res0/main/point_conv/conv/Conv,Conv,21897216,0.33%,5312640,0.48%,1056,0.00%,1x32x144x144,1x32x144x144
/stem/res0/Add,Add,663552,0.01%,5308416,0.48%,0,0.00%,1x32x144x144,1x32x144x144
/stages/stages.0/blocks/blocks.0/main/inverted_conv/conv/Conv,Conv,87588864,1.30%,21250560,1.94%,4224,0.01%,1x32x144x144,1x128x144x144
/stages/stages.0/blocks/blocks.0/main/inverted_conv/act/HardSwish,HardSwish,13271040,0.20%,21233664,1.94%,0,0.00%,1x128x144x144,1x128x144x144
/stages/stages.0/blocks/blocks.0/main/depth_conv/conv/Conv,Conv,6635520,0.10%,5313536,0.48%,1280,0.00%,1x128x144x144,1x128x72x72
/stages/stages.0/blocks/blocks.0/main/depth_conv/act/HardSwish,HardSwish,3317760,0.05%,5308416,0.48%,0,0.00%,1x128x72x72,1x128x72x72
/stages/stages.0/blocks/blocks.0/main/point_conv/conv/Conv,Conv,42799104,0.64%,2687232,0.25%,8256,0.02%,1x128x72x72,1x64x72x72
/stages/stages.0/blocks/blocks.1/main/inverted_conv/conv/Conv,Conv,86261760,1.28%,10683392,0.97%,16640,0.03%,1x64x72x72,1x256x72x72
/stages/stages.0/blocks/blocks.1/main/inverted_conv/act/HardSwish,HardSwish,6635520,0.10%,10616832,0.97%,0,0.00%,1x256x72x72,1x256x72x72
/stages/stages.0/blocks/blocks.1/main/depth_conv/conv/Conv,Conv,13271040,0.20%,10627072,0.97%,2560,0.01%,1x256x72x72,1x256x72x72
/stages/stages.0/blocks/blocks.1/main/depth_conv/act/HardSwish,HardSwish,6635520,0.10%,10616832,0.97%,0,0.00%,1x256x72x72,1x256x72x72
/stages/stages.0/blocks/blocks.1/main/point_conv/conv/Conv,Conv,85266432,1.27%,2720000,0.25%,16448,0.03%,1x256x72x72,1x64x72x72
/stages/stages.0/blocks/blocks.1/Add,Add,331776,0.00%,2654208,0.24%,0,0.00%,1x64x72x72,1x64x72x72
/stages/stages.0/blocks/blocks.2/main/inverted_conv/conv/Conv,Conv,86261760,1.28%,10683392,0.97%,16640,0.03%,1x64x72x72,1x256x72x72
/stages/stages.0/blocks/blocks.2/main/inverted_conv/act/HardSwish,HardSwish,6635520,0.10%,10616832,0.97%,0,0.00%,1x256x72x72,1x256x72x72
/stages/stages.0/blocks/blocks.2/main/depth_conv/conv/Conv,Conv,13271040,0.20%,10627072,0.97%,2560,0.01%,1x256x72x72,1x256x72x72
