Name                                                                            Type                Forward_MACs    FPercent    Memory         MPercent    Params      PPercent    InShape        OutShape
------------------------------------------------------------------------------  ------------------  --------------  ----------  -------------  ----------  ----------  ----------  -------------  -------------
/stem/in_conv/conv/Conv                                                         Conv                18,579,456      0.28%       5,312,000      0.48%       896         0.00%       1x3x288x288    1x32x144x144
/stem/in_conv/act/HardSwish                                                     HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x32x144x144   1x32x144x144
/stem/res0/main/depth_conv/conv/Conv                                            Conv                6,635,520       0.10%       5,309,696      0.48%       320         0.00%       1x32x144x144   1x32x144x144
/stem/res0/main/depth_conv/act/HardSwish                                        HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x32x144x144   1x32x144x144
/stem/res0/main/point_conv/conv/Conv                                            Conv                21,897,216      0.33%       5,312,640      0.48%       1,056       0.00%       1x32x144x144   1x32x144x144
/stem/res0/Add                                                                  Add                 663,552         0.01%       5,308,416      0.48%       0           0.00%       1x32x144x144   1x32x144x144
/stages/stages.0/blocks/blocks.0/main/inverted_conv/conv/Conv                   Conv                87,588,864      1.30%       21,250,560     1.94%       4,224       0.01%       1x32x144x144   1x128x144x144
/stages/stages.0/blocks/blocks.0/main/inverted_conv/act/HardSwish               HardSwish           13,271,040      0.20%       21,233,664     1.94%       0           0.00%       1x128x144x144  1x128x144x144
/stages/stages.0/blocks/blocks.0/main/depth_conv/conv/Conv                      Conv                6,635,520       0.10%       5,313,536      0.48%       1,280       0.00%       1x128x144x144  1x128x72x72
/stages/stages.0/blocks/blocks.0/main/depth_conv/act/HardSwish                  HardSwish           3,317,760       0.05%       5,308,416      0.48%       0           0.00%       1x128x72x72    1x128x72x72
/stages/stages.0/blocks/blocks.0/main/point_conv/conv/Conv                      Conv                42,799,104      0.64%       2,687,232      0.25%       8,256       0.02%       1x128x72x72    1x64x72x72
/stages/stages.0/blocks/blocks.1/main/inverted_conv/conv/Conv                   Conv                86,261,760      1.28%       10,683,392     0.97%       16,640      0.03%       1x64x72x72     1x256x72x72
/stages/stages.0/blocks/blocks.1/main/inverted_conv/act/HardSwish               HardSwish           6,635,520       0.10%       10,616,832     0.97%       0           0.00%       1x256x72x72    1x256x72x72
/stages/stages.0/blocks/blocks.1/main/depth_conv/conv/Conv                      Conv                13,271,040      0.20%       10,627,072     0.97%       2,560       0.01%       1x256x72x72    1x256x72x72
